id,shap_B11,shap_B12,shap_B2,shap_B3,shap_B4,shap_B5,shap_B6,shap_B8,shap_BSI,shap_BSI_Mean,shap_Clay_Ratio,shap_Iron_Ratio,shap_MNDWI,shap_MNDWI_Variance,shap_NDTI,shap_NDVI,shap_NDVI_Entropy,shap_NDVI_Variance,shap_NDWI,shap_dist_to_road_km
0,-0.14696923,0.14105321,-0.06711954,0.37953246,-0.237623,0.08074135,-0.50609154,0.42485616,0.31811586,-0.12524578,-0.00084548746,-0.03607745,-0.03350956,-0.0009775828,-0.0057119485,0.57297575,-0.13776183,-0.15667348,-0.071213365,0.75689554
1,-0.05105927,0.20290118,-0.2810547,-1.3030496,-0.01025923,-0.18232442,-0.3478963,0.10225515,-0.34041238,-0.17768471,-1.13386,-0.18376707,-0.067174576,-0.071403734,-0.33756056,-0.635658,-0.0441229,-0.3680189,-0.69237006,-0.15330966
2,-0.47083905,-0.06925987,0.11573439,-0.5041551,0.15455602,-0.04146136,-0.4335887,0.34599763,-0.048759982,0.25804198,-1.1725698,-0.18452716,0.08397139,-0.02397322,-0.37341014,-0.769774,-0.023658594,0.447201,-0.66251665,0.6405179
3,0.38288167,0.17655426,0.1425468,-1.4548146,-0.0055948505,-0.15997872,0.48164654,0.30702737,-0.37979886,-0.34269875,-1.3645433,-0.20088609,0.0066893883,-0.003021358,-0.39206746,0.41529414,-0.22380091,-0.14567138,0.0663957,0.0802725
4,-0.35588542,-0.36542815,0.06725995,0.058525003,0.017149959,-0.07925068,-0.537923,-0.33656278,-0.16228668,-0.058163486,-1.0437828,-0.47349375,-0.11610046,-0.46018943,-0.38423795,-0.8319044,-0.015514419,0.39408448,-0.69200295,-0.30389848
5,-0.3584859,-0.00834152,-0.04134836,0.2236664,0.023897914,-0.043888405,-0.49007347,-0.10023035,-0.076531306,0.07050454,0.05481171,-0.54935104,0.064502746,0.013832286,0.022938518,0.2995524,-0.28956333,0.034804877,-0.0633529,0.8764907
6,-0.092239365,0.04780874,0.021500554,0.2577931,0.042353168,-0.031123832,0.35869536,0.34218675,-0.4328943,0.13905017,0.14472674,-0.20676538,0.084105656,-0.05230409,0.03801596,0.48181295,0.20679185,0.26661867,0.0795642,1.1713451
7,0.2075027,0.25858307,0.10318983,-0.24922922,0.21671118,-0.027615663,0.35652956,0.3266649,-0.012776759,0.27149642,0.14653945,-0.27898124,0.09042977,-0.052014433,0.10550043,0.49422583,0.1856555,0.24304235,0.067641206,0.003196517
8,-0.3316913,0.10050501,-0.27162835,-1.2634842,-0.010687888,-0.14390668,-0.46321636,0.13934888,-0.24115467,-0.13404734,-1.1312491,-0.1719908,-0.25833732,-0.23746344,-0.34923905,-0.59846836,-0.121754415,-0.28442022,-0.7304077,0.9241472
9,-0.35130972,0.09584908,-0.26222733,-1.2247312,-0.010273285,-0.16926709,-0.4685828,-0.36523774,-0.2619444,-0.10931287,-1.0891004,-0.14254238,-0.13725786,-0.34549275,-0.3444636,-0.6828694,-0.12628718,-0.25020227,-0.7363932,-0.1388477
10,-0.3339447,0.116713814,-0.09848928,-1.2847283,0.005079799,-0.15374404,-0.4483738,-0.38626328,-0.3396079,-0.2255034,-1.1442211,-0.28621718,0.06616448,-0.3821945,-0.33501124,-0.6239557,-0.0075920103,-0.056682464,-0.68718874,-0.86802715
11,-0.47222474,-0.39953914,0.12813987,0.07258919,0.22162741,-0.022768589,-0.25345594,0.0670009,-0.01528619,0.1244633,-0.067936145,-0.22062202,0.17438209,-0.28516456,-0.011305279,-0.7733916,0.24010068,0.21230218,-0.40419096,-0.29546177
12,-0.37414917,-0.41411814,-0.061761506,0.19636825,0.009235974,-0.07586926,-0.5897129,0.06685529,-0.42908704,-0.05062382,0.074649654,-0.5761881,0.19255304,0.0140661085,0.028456436,-0.97993904,0.22482276,0.41566202,-0.022704802,-0.30835938
13,-0.41114235,-0.32406762,0.053724606,0.14912933,0.21580146,-0.016924558,-0.4047378,0.42717475,0.11154973,0.068533935,0.69074017,-0.21845943,0.119886175,-0.032383684,0.21065135,0.62744397,0.21831562,0.18397225,0.42954707,-0.129877
14,-0.28946093,-0.33586287,0.019071177,0.88706046,-0.23092298,0.12159804,-0.54441005,0.28743696,-0.001081418,-0.05938874,0.024212014,-0.57410353,0.16270977,-0.4981531,-0.015161091,0.40120187,-0.16530675,-0.36091158,-0.10026845,0.92726743
15,-0.39898047,-0.34708294,0.012095984,0.5135321,-0.1488541,-0.08160697,-0.3860827,0.22897078,0.009576164,0.015339805,0.06815695,-0.6222445,0.12203579,-0.41268036,-0.021525428,0.37170774,-0.25152314,-0.34798154,-0.15769035,0.30503333
16,-0.41029412,-0.07810627,0.14844853,-0.6578637,0.014576489,-0.034502566,-0.31834954,-0.55471045,-0.34812284,-0.17461334,-1.1455315,-0.24811147,-0.026756328,-0.40097877,-0.3309328,-0.70776963,-0.21330981,-0.33860514,-0.69166666,-0.9760329
17,-0.37968937,-0.1336993,-0.10786786,-1.2012157,0.023155948,-0.052285556,-0.3888175,-0.44244513,-0.31118304,-0.14942811,-1.18583,-0.1998403,-0.24218315,-0.39010453,-0.36952722,-0.66290295,-0.24238838,-0.0405885,-0.71700317,0.066903934
18,-0.4079421,-0.08647167,-0.033848032,-1.1391302,0.0139334835,-0.027304264,-0.315862,-0.49659702,-0.38263378,-0.16586535,-1.1032392,-0.13367449,-0.14150585,-0.006144838,-0.35081545,-0.67971855,0.20477836,0.2762479,-0.71923697,-0.20724995
19,-0.41148806,-0.36491516,0.068158165,-0.5173089,0.1890263,-0.032436114,-0.27146652,0.09010911,-0.06878892,-0.005296534,-1.1237166,-0.38441312,-0.18921922,-0.02330533,-0.34489998,-0.7840697,0.204935,0.31900916,-0.65897286,-0.3079034
20,-0.30825353,0.11225123,-0.19076069,-1.2973564,-0.0015365705,-0.19145283,-0.43301955,0.10548001,-0.32122108,-0.22043942,-1.2042227,-0.2913415,0.07637321,-0.3779633,-0.36200115,-0.64505744,0.012955575,0.0035374882,-0.6704343,-0.2825142
21,-0.3590864,0.077916756,-0.17503174,-1.2606511,-0.00080793723,-0.12653978,-0.42213392,-0.24643417,-0.30362946,-0.16507576,-1.1295286,-0.24920927,-0.09915451,-0.40719807,-0.31525338,-0.6234196,-0.25794858,-0.33144882,-0.6698869,-0.92953676
