B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon,label,actual_date,days_diff,target_date
1734.0,1197.0,530.0,692.0,616.0,1018.0,1676.0,2266.0,-0.0866692587733268,-0.0501932129263877,1.4486215538847118,1.1622641509433962,-0.4295136034488678,0.000404841864746,0.1832139201637666,0.572519063949585,2.1972246170043945,0.0058097547859333,-0.5321162947937795,2025-12-25 04:31:09,4.189571,27.30201890372092,94.8555656241204,0,,,
2664.0,1916.0,740.0,1036.0,1476.0,1611.0,1937.0,2397.0,0.1378315240144729,0.1258582025766372,1.3903966597077244,1.9945945945945944,-0.4399999976158142,0.0050660062266487,0.1633187772925764,0.2378001511096954,2.1972246170043945,0.0024759795158414,-0.3964462569181474,2025-12-19 05:43:36,1.743647,19.400019071226744,74.23834163381666,0,,,
4862.0,3462.0,1018.0,1550.0,2262.0,2809.0,3364.0,3936.0,0.1796655058860778,0.1743418425321579,1.4043905257076834,2.2220039292730847,-0.5165315270423889,0.0003374160903787,0.1681883709754925,0.2700871229171753,1.464816331863403,0.0005054908213117,-0.4349252643091505,2025-12-25 05:13:32,0.000325,19.328879301411718,82.67500895362318,0,,,
120.0,123.0,537.0,792.0,514.0,532.0,262.0,267.0,-0.1182197481393814,-0.112747274339199,0.975609756097561,,0.7368420958518982,0.0005103085049041,-0.0123456790123456,-0.3162612020969391,1.735126495361328,0.0003034037325682,0.4957507082152974,,,25.71199,84.865165,1,2025-02-13,0.000216436261574,2025-02-13
142.0,135.0,521.0,673.0,468.0,511.0,162.0,169.0,-0.0615384615957737,-0.0278484933078289,1.0518518518518518,,0.6515337228775024,0.0033362894375284,0.0252707581227436,-0.4693877696990967,2.043191909790039,0.0015273109711983,0.5985748218527316,,,25.526976,85.292753,1,2025-02-10,0.0037905109722222,2025-02-14
1605.0,761.0,228.0,414.0,335.0,847.0,2017.0,2330.0,-0.1373943984508514,-0.1872148066759109,2.109067017082786,1.469298245614035,-0.5898959636688232,0.0003572976097038,0.356720202874049,0.7485928535461426,1.889159202575684,0.0010491424325813,-0.6982507288629738,2025-12-21 04:41:23,16.851895,25.783351662951684,91.95304976351352,0,,,
93.0,81.0,529.0,730.0,476.0,478.0,238.0,235.0,-0.1462865769863128,-0.1461458355188369,1.148148148148148,,0.7739975452423096,5.506448611194672e-05,0.0689655172413793,-0.3389592170715332,1.2730283737182615,0.0001209965115359,0.5129533678756477,,,25.662593,84.917929,1,2025-02-13,0.000216436261574,2025-02-13
2728.0,2217.0,818.0,1110.0,1610.0,1809.0,2069.0,2317.0,0.1609795242547989,0.161225751042366,1.2304916553901668,1.9682151589242052,-0.4215737283229828,0.0008531817193268,0.1033367037411526,0.180035650730133,1.6769877672195437,0.0006335703360284,-0.3522030930843303,2025-12-25 05:13:35,0.0,19.04700569225433,81.99639293465704,0,,,
9093.0,7899.0,6884.0,7216.0,7760.0,8574.0,8855.0,8879.0,0.0334191806614398,0.0035982870031148,1.151158374477782,1.127251597908193,-0.115089826285839,0.0009075839701635,0.0702683615819209,0.0672516375780105,0.5297061800956726,3.963811544390677e-06,-0.1033240136688412,2025-12-24 05:40:30,2.462968,31.293337473678218,76.70555432246336,0,,,
2815.0,2358.0,520.0,812.0,1182.0,1307.0,1330.0,1390.0,0.3533096313476562,0.3469127714633941,1.193808312128923,,-0.5522470474243164,0.0013567432658684,0.0883433210902764,0.0808709189295768,1.889159202575684,0.0011804055349924,-0.2624886466848319,,,16.150592,73.458183,1,2024-04-13,0.0012393699074074,2024-04-12
2739.0,2934.0,1794.0,2162.0,2342.0,2452.0,2250.0,2418.0,0.0935112461447715,0.1029983609914779,0.9335378323108384,,-0.1177310720086097,0.0031649735406675,-0.0343733474352194,0.0159663874655962,1.2730283737182615,0.0007854959763281,-0.0558951965065502,,,29.45335,77.13004,1,2024-03-19,0.0027632912037037,2024-03-22
123.0,101.0,542.0,730.0,470.0,495.0,252.0,250.0,-0.1436823159456253,-0.1234567612409591,1.2178217821782178,,0.7116060853004456,1.439796836589914e-05,0.0982142857142857,-0.3055555522441864,1.214889645576477,6.790419667488144e-05,0.4897959183673469,,,25.6602239999999,84.932079,1,2025-02-13,0.000216436261574,2025-02-13
212.0,197.0,769.0,940.0,808.0,783.0,551.0,496.0,-0.1072210073471069,-0.0843748673796653,1.076142131979695,,0.6319444179534912,0.004069057341678,0.0366748166259168,-0.2392638027667999,1.889159202575684,0.0005561661005639,0.309192200557103,,,26.46543397,88.250213,1,2021-11-15,0.0007977383333333,2021-11-16
2103.0,1792.0,690.0,758.0,914.0,1295.0,1596.0,1144.0,0.2438672482967376,0.0614898949861526,1.1735491071428572,,-0.4701153337955475,0.0177522290630991,0.0798459563543003,0.1117589920759201,2.1972246170043945,0.020332695217643,-0.2029442691903259,,,16.008992,73.605536,1,2024-04-28,0.0022393418634259,2024-04-26
99.0,94.0,574.0,830.0,524.0,539.0,286.0,274.0,-0.1529571712017059,-0.1432725638151168,1.053191489361702,,0.786867618560791,2.5751045864157932e-05,0.0259067357512953,-0.3132832050323486,1.5810937881469729,0.0007077490429452,0.5036231884057971,,,25.726931,84.827539,1,2025-02-13,0.001216436261574,2025-02-12
4114.0,4067.0,1476.0,2060.0,2654.0,3081.0,3122.0,3164.0,0.1865357607603073,0.1741521656513214,1.011556429800836,,-0.3326854407787323,0.0007179972660446,0.005745018946339,0.0876589864492416,0.964962899684906,3.5069835511683215e-05,-0.2113323124042879,,,26.608492,77.847149,1,2023-02-13,0.0007628389699074,2023-02-14
1986.0,1466.0,520.0,736.0,916.0,1209.0,1575.0,1848.0,0.1013282760977745,0.0894901975989341,1.354706684856753,1.7615384615384615,-0.4592211544513702,0.0001738127619343,0.1506373117033603,0.3371924757957458,2.043191909790039,0.0006762811273701,-0.4303405572755417,2025-12-19 05:53:14,0.003185,21.731920541382507,72.21254978768296,0,,,
1940.0,1491.0,512.0,750.0,1114.0,1274.0,1476.0,1744.0,0.1502824872732162,0.1711447834968567,1.301140174379611,2.17578125,-0.4423791766166687,0.0016517107551161,0.1308656368405712,0.2204338759183883,1.522955060005188,0.0002833523883736,-0.3985565356856455,2025-12-23 05:22:27,0.948776,23.077097868318813,80.48542262155445,0,,,
90.0,52.0,318.0,445.0,234.0,223.0,146.0,160.0,-0.1920199543237686,-0.1689028739929199,1.7307692307692308,0.7358490566037735,0.663551390171051,0.0001879431442002,0.2676056338028169,-0.1878172606229782,1.831020474433899,0.0012847394141848,0.4710743801652892,2025-12-24 05:42:15,7.3e-05,24.476585427728835,75.572222894916,0,,,
125.0,139.0,734.0,871.0,781.0,711.0,430.0,435.0,-0.1267469823360443,-0.1204018518328666,0.8992805755395683,,0.7489959597587585,0.0013493760334148,-0.053030303030303,-0.2845394611358642,1.1490596532821655,0.0001027907343215,0.333843797856049,,,26.48742699,88.30671902,1,2021-11-15,0.0007977383333333,2021-11-16
2081.0,1290.0,1632.0,1688.0,1506.0,1850.0,2824.0,3260.0,-0.1539096534252166,-0.1500947773456573,1.6131782945736437,0.9227941176470588,-0.104271687567234,5.521305642618312e-05,0.2346484722634233,0.3680234849452972,1.4270610809326172,0.0001627166353834,-0.3177041228779305,2025-12-13 05:21:54,0.104386,25.107836372095264,81.78846521185393,0,,,
1760.0,862.0,288.0,534.0,383.0,982.0,2125.0,2988.0,-0.209079161286354,-0.1560297459363937,2.041763341067285,1.3298611111111112,-0.5344376564025879,0.0006808758436825,0.3424866514111365,0.7727677226066589,1.831020474433899,0.0037220750729108,-0.696763202725724,2025-12-24 05:45:00,0.024784,15.122562095614583,74.1801657926985,0,,,
