B11,B12,B2,B3,B4,B5,B6,B8,BSI,BSI_Mean,Clay_Ratio,Iron_Ratio,MNDWI,MNDWI_Variance,NDTI,NDVI,NDVI_Entropy,NDVI_Variance,NDWI,date,cloud_cover,lat,lon
3695,2840,956,1242,1834,2159,2329,2668,0.20812848210334778,0.21496330201625824,1.301056338028169,1.9184100418410042,-0.49686044454574585,0.00018426748052055884,0.13083397092578425,0.18525099754333496,1.0608569383621216,3.226545051624205e-05,-0.36470588235294116,2025-12-24 05:42:15,7.3e-05,25.214712118228782,75.10788744767761
1049,623,310,394,278,588,1169,1520,-0.15932847559452057,-0.1051904708147049,1.6837881219903692,0.896774193548387,-0.45391544699668884,0.002941414444129443,0.25478468899521534,0.6907675266265869,2.043191909790039,0.0019075615189329358,-0.5882967607105538,2025-12-19 05:42:45,0.006409,22.391420876644574,76.79922890186164
1760,862,288,534,383,982,2125,2988,-0.20907916128635406,-0.15602974593639374,2.0417633410672855,1.3298611111111112,-0.5344376564025879,0.0006808758436825811,0.34248665141113654,0.7727677226066589,1.831020474433899,0.0037220750729108293,-0.696763202725724,2025-12-24 05:45:00,0.024784,15.122562095614583,74.1801657926985
1292,706,647,960,777,1107,1738,2014,-0.12515856325626373,-0.12717905640602112,1.8300283286118981,1.2009273570324575,-0.14742450416088104,0.007109916526195396,0.2932932932932933,0.44321033358573914,1.8891592025756836,0.023626710172806858,-0.35440484196368527,2025-12-19 04:52:08,8.895047,23.842515238338713,88.22953036692479
2351,1532,836,1042,1144,1495,1873,1932,0.11607855558395386,0.11999841034412384,1.5345953002610966,1.368421052631579,-0.3857942819595337,0.00037912879126348703,0.21091939222250836,0.2561768591403961,1.8891592025756836,0.0018524637574800866,-0.2992602555480834,2025-12-24 05:03:12,1.043888,20.958559939958977,84.17848414159987
2124,1359,331,510,778,1025,1462,2072,0.0940622091293335,0.14772558212280273,1.5629139072847682,2.3504531722054383,-0.6127562522888184,0.0014398324825570796,0.21963824289405684,0.45403507351875305,2.043191909790039,0.0011939842889972458,-0.6049573973663827,2025-12-16 05:32:58,0.004149,21.49738710629163,78.61695383492535
2806,1878,1858,1918,1942,2242,2547,2808,0.008710430935025215,-0.0023426159750670195,1.4941427050053249,1.0452099031216362,-0.18797628581523895,0.0007211837299892684,0.1981212638770282,0.18231579661369324,1.522955060005188,0.0001308488189377245,-0.18831993228946256,2025-12-17 05:01:49,2.331333,24.584109120124733,86.09973105561188
1626,949,500,644,579,1026,1674,1912,-0.044834308326244354,-0.08078476041555405,1.7133825079030558,1.158,-0.43259912729263306,9.798058158702914e-05,0.2629126213592233,0.5351264476776123,2.043191909790039,0.0028205438989823664,-0.49608763693270735,2025-12-22 05:02:13,8.870959,23.60707114142386,85.32422591858337
330,217,590,738,804,1007,917,984,-0.16248153150081635,-0.1465982347726822,1.5207373271889402,1.3627118644067797,0.3820224702358246,0.01690867712476078,0.20658135283363802,0.10067114233970642,1.8891592025756836,0.001069870460065696,-0.14285714285714285,2025-12-20 05:24:15,0.000581,17.22269838289637,79.88745506347902
418,218,580,752,492,520,695,1172,-0.3163035213947296,-0.1925349235534668,1.9174311926605505,0.8482758620689655,0.2854700982570648,0.05918846725915075,0.31446540880503143,0.4086538553237915,2.1972246170043945,0.07534469562601014,-0.2182952182952183,2025-12-23 05:22:01,11.277407,24.58526723456926,79.84158825766161
4108,3611,2696,2834,2866,3202,3607,3809,0.03479486703872681,0.028528600931167603,1.137635004153974,1.0630563798219586,-0.1835206001996994,0.00022621945555956202,0.06438657857235393,0.1412734091281891,1.0986123085021973,0.00014424311357633422,-0.14677103718199608,2025-12-25 04:30:55,14.806192,28.258023621234194,94.68396337717688
2127,1350,587,916,1084,1475,1945,2420,0.03280797600746155,0.07021049410104752,1.5755555555555556,1.8466780238500853,-0.3979625403881073,0.0016337077524746718,0.22346850733390855,0.38127854466438293,1.6769877672195435,0.0015422651813306782,-0.45083932853717024,2025-12-17 05:14:23,14.845994,17.0463034199666,82.20045431655683
1915,1271,551,742,652,935,1393,2192,-0.033145010471343994,0.033698730170726776,1.5066876475216364,1.1833030852994555,-0.44147536158561707,0.0010473352966585815,0.20213433772755807,0.5414908528327942,1.8891592025756836,0.0027247235364754475,-0.4942058623040218,2025-12-16 05:32:01,0.001211,25.08617357636375,78.39594171046778
2199,1966,4073,4740,4941,5457,5813,4859,-0.11149825900793076,-0.13517189025878906,1.1185147507629705,1.2131107291922416,0.3661910891532898,0.04548433258889441,0.05594237695078031,-0.008367346599698067,1.522955060005188,0.000368144594990574,-0.012397124700489634,2025-12-24 05:40:12,0.009565,32.482320037735505,78.28488401069713
3399,2159,479,744,1104,1619,2361,2958,0.13425692915916443,0.0980638936161995,1.5743399722093563,2.3048016701461376,-0.6408399939537048,0.001804158235386587,0.22310183519251528,0.45642539858818054,1.8891592025756836,0.0005690343094341996,-0.5980551053484603,2025-12-25 05:12:31,3.370078,22.72552732876052,83.29716244313074
70,46,300,472,242,217,130,104,-0.1284916251897812,-0.13874885439872742,1.5217391304347827,0.8066666666666666,0.7416974306106567,6.908989630015504e-05,0.20689655172413793,-0.3988439440727234,2.043191909790039,0.0011602291285292862,0.6388888888888888,2025-12-20 06:02:38,0.094631,23.96569091154839,70.14730830307545
1908,1876,4193,4760,4364,5273,5152,4341,-0.15277589857578278,-0.15432539582252502,1.0170575692963753,1.0407822561411877,0.427714467048645,0.019907626214670952,0.008456659619450317,-0.0026421595830470324,1.522955060005188,0.00038905945894056283,0.04603889682452478,2025-12-24 05:39:58,0.064011,33.247299143260086,77.335366870642
1590,916,247,418,348,741,1393,2160,-0.10794015973806381,-0.09174823760986328,1.7358078602620088,1.408906882591093,-0.5836653113365173,0.001505372517072365,0.26895450917797287,0.7224880456924438,1.8891592025756836,0.0049661272562555835,-0.6757176105508146,2025-12-19 05:53:53,8.310185,19.636575599539203,73.34700480812636
2428,1586,648,930,1104,1617,2297,2644,0.03516998887062073,0.03670954331755638,1.5308953341740228,1.7037037037037037,-0.44609886407852173,0.0004443222186395109,0.20976581963129048,0.4108858108520508,2.043191909790039,0.0016736446990207475,-0.4795747062115277,2025-12-21 05:34:45,2.468805,15.532854122038101,75.86945176698174
2801,1982,942,1184,1432,1688,1945,2228,0.14359043538570404,0.14219027757644653,1.4132189707366296,1.5201698513800426,-0.4057716429233551,0.000764270199258732,0.17123144469997909,0.21748633682727814,1.8891592025756836,0.0006366734641771732,-0.305978898007034,2025-12-25 05:13:14,0.000142,20.658776385306798,83.63020790671426
